Lunar IPS (LIPS) Version 1.03
Apply IPS Patch Log

Offset    Size    RLE    IPS_File_Range       IPS_File_Size
172602      1C    No     001721D7-001721F7       21
17261E      13    Yes    001721F8-001721FF        8
172631      22    No     00172200-00172226       27
172653       F    Yes    00172227-0017222E        8
172662       A    Yes    0017222F-00172236        8
17266C      10    Yes    00172237-0017223E        8
17267C      15    No     0017223F-00172258       1A
172691      13    Yes    00172259-00172260        8
1726A4      1D    No     00172261-00172282       22
1726C1      13    Yes    00172283-0017228A        8
1726D4     117    No     0017228B-001723A6      11C
1727EB       F    Yes    001723A7-001723AE        8
1727FA       A    Yes    001723AF-001723B6        8
172804      10    Yes    001723B7-001723BE        8
172814      17    No     001723BF-001723DA       1C
17282B       F    Yes    001723DB-001723E2        8
17283A       A    Yes    001723E3-001723EA        8
172844      10    Yes    001723EB-001723F2        8
172854      18    No     001723F3-0017240F       1D
17286C       F    Yes    00172410-00172417        8
17287B       A    Yes    00172418-0017241F        8
172885      10    Yes    00172420-00172427        8
172895      1B    No     00172428-00172447       20
1728B0       F    Yes    00172448-0017244F        8
1728BF      30    No     00172450-00172484       35
1728EF       F    Yes    00172485-0017248C        8
1728FE       A    Yes    0017248D-00172494        8
172908      10    Yes    00172495-0017249C        8
172918      18    No     0017249D-001724B9       1D
172930       F    Yes    001724BA-001724C1        8
17293F       A    Yes    001724C2-001724C9        8
172949      10    Yes    001724CA-001724D1        8
172959      19    No     001724D2-001724EF       1E
172972       F    Yes    001724F0-001724F7        8
172981       A    Yes    001724F8-001724FF        8
17298B      10    Yes    00172500-00172507        8
17299B      1C    No     00172508-00172528       21
1729B7       F    Yes    00172529-00172530        8
1729C6    E278    No     00172531-001807AD     E27D
180C46    1C15    No     001807AE-001823C7     1C1A
182864    D8E8    No     001823C8-0018FCB4     D8ED
190152     847    No     0018FCB5-00190500      84C
1909A1    4CED    No     00190501-001951F2     4CF2
195694    5A7A    No     001951F3-0019AC71     5A7F
19B117    2BE4    No     0019AC72-0019D85A     2BE9
19DD03    8190    No     0019D85B-001A59EF     8195
1A5E9B    74EB    No     001A59F0-001ACEDF     74F0
1AD38C    1BA8    No     001ACEE0-001AEA8C     1BAD
1AEF3A    B6E3    No     001AEA8D-001BA174     B6E8
1BA623    2622    No     001BA175-001BC79B     2627
1BCC4D     64E    No     001BC79C-001BCDEE      653
1BD2A3    8F6B    No     001BCDEF-001C5D5E     8F70
1C6215    FFFF    No     001C5D5F-001D5D62    10004
1D6215    FFFF    No     001D5D63-001E5D66    10004
1E6214    B12C    No     001E5D67-001F0E97     B131
1F1346     56C    No     001F0E98-001F1408      571
1F18B8     18A    No     001F1409-001F1597      18F
1F1A4B    1B85    No     001F1598-001F3121     1B8A
1F35D8     282    No     001F3122-001F33A8      287
1F3860     744    No     001F33A9-001F3AF1      749
1F3FAA      26    No     001F3AF2-001F3B1C       2B
1F3FD8     290    No     001F3B1D-001F3DB1      295
1F426E       2    No     001F3DB2-001F3DB8        7
1F4276       2    No     001F3DB9-001F3DBF        7
1F427E      CE    No     001F3DC0-001F3E92       D3
