Lunar IPS (LIPS) Version 1.03
Apply IPS Patch Log

Offset    Size    RLE    IPS_File_Range       IPS_File_Size
------    ----    ID     00000000-00000004        5
000128      27    No     00000005-00000030       2C
000188       1    No     00000031-00000036        6
0001BC      1A    No     00000037-00000055       1F
000244       2    No     00000056-0000005C        7
0003A4     52E    No     0000005D-0000058F      533
0008D8     122    No     00000590-000006B6      127
000A00    2CE3    No     000006B7-0000339E     2CE8
0036F0       1    No     0000339F-000033A4        6
0036FA     D38    No     000033A5-000040E1      D3D
004438    15D1    No     000040E2-000056B7     15D6
005A10    226B    No     000056B8-00007927     2270
007C86    2350    No     00007928-00009C7C     2355
009FDC    78BE    No     00009C7D-0001153F     78C3
0118A0    A052    No     00011540-0001B596     A057
01B8F8    7F19    No     0001B597-000234B4     7F1E
023818     B61    No     000234B5-0002401A      B66
024380     BD5    No     0002401B-00024BF4      BDA
024F5C    1284    No     00024BF5-00025E7D     1289
0261E6    30C4    No     00025E7E-00028F46     30C9
0292B0    21BE    No     00028F47-0002B109     21C3
02B474    1056    No     0002B10A-0002C164     105B
02C4D0    1F56    No     0002C165-0002E0BF     1F5B
02E42C    459A    No     0002E0C0-0003265E     459F
0329CC     8F6    No     0003265F-00032F59      8FB
0332C8    51A2    No     00032F5A-00038100     51A7
038470     BA6    No     00038101-00038CAB      BAB
03901C    D76D    No     00038CAC-0004641D     D772
046790    B189    No     0004641E-000515AB     B18E
051920    216E    No     000515AC-0005371E     2173
053A94    4D52    No     0005371F-00058475     4D57
0587EC    16C0    No     00058476-00059B3A     16C5
059EB6     24A    No     00059B3B-00059D89      24F
05A106     3F6    No     00059D8A-0005A184      3FB
05A502      8D    No     0005A185-0005A216       92
05A598    2767    No     0005A217-0005C982     276C
05CD08    24BB    No     0005C983-0005EE42     24C0
05F1CC    14F6    No     0005EE43-0006033D     14FB
0606C8     A69    No     0006033E-00060DAB      A6E
061138     8B4    No     00060DAC-00061664      8B9
0619F7    1986    No     00061665-00062FEF     198B
063384     744    No     00062FF0-00063738      749
063AD0     9A4    No     00063739-000640E1      9A9
06447C     6E4    No     000640E2-000647CA      6E9
064B68      D4    No     000647CB-000648A3       D9
064C42     48B    No     000648A4-00064D33      490
0650DA      1B    No     00064D34-00064D53       20
065100     6D6    No     00064D54-0006542E      6DB
0657E0     B93    No     0006542F-00065FC6      B98
06637C     3A0    No     00065FC7-0006636B      3A5
066724     868    No     0006636C-00066BD8      86D
066F94     160    No     00066BD9-00066D3D      165
0670FC     359    No     00066D3E-0006709B      35E
06745C     778    No     0006709C-00067818      77D
067BDC     DC6    No     00067819-000685E3      DCB
0689A8     B8A    No     000685E4-00069172      B8F
069538     78E    No     00069173-00069905      793
069CCC     4A6    No     00069906-00069DB0      4AB
06A178     9F5    No     00069DB1-0006A7AA      9FA
06AB74     211    No     0006A7AB-0006A9C0      216
