Lunar IPS (LIPS) Version 1.03
Apply IPS Patch Log

Offset    Size    RLE    IPS_File_Range       IPS_File_Size
06AD8C      79    No     0006A9C1-0006AA3E       7E
06AE0C     E55    No     0006AA3F-0006B898      E5A
06BC68     1BD    No     0006B899-0006BA5A      1C2
06BE2C     157    No     0006BA5B-0006BBB6      15C
06BF8C      37    No     0006BBB7-0006BBF2       3C
06BFCC    3562    No     0006BBF3-0006F159     3567
06F534     332    No     0006F15A-0006F490      337
06F86C    2A1A    No     0006F491-00071EAF     2A1F
07228C    2C4E    No     00071EB0-00074B02     2C53
074EE2    24CC    No     00074B03-00076FD3     24D1
0773B4    690E    No     00076FD4-0007D8E6     6913
07DCC8    6C6E    No     0007D8E7-00084559     6C73
08493C    1C70    No     0008455A-000861CE     1C75
0865B4     45E    No     000861CF-00086631      463
086A18    4796    No     00086632-0008ADCC     479B
08B1B4     8E1    No     0008ADCD-0008B6B2      8E6
08BA9C    394A    No     0008B6B3-0008F001     394F
08F3EC    5C56    No     0008F002-00094C5C     5C5B
095048    8AEC    No     00094C5D-0009D74D     8AF1
09DB3C    2737    No     0009D74E-0009FE89     273C
0A0279    5FC1    No     0009FE8A-000A5E4F     5FC6
0A6240     AAE    No     000A5E50-000A6902      AB3
0A6CF4    36F6    No     000A6903-000A9FFD     36FB
0AA3F0     2D5    No     000A9FFE-000AA2D7      2DA
0AA6D6     AFB    No     000AA2D8-000AADD7      B00
0AB1D8    CA6E    No     000AADD8-000B784A     CA73
0B7C4C    DFD8    No     000B784B-000C5827     DFDD
0C5C2C    D4C4    No     000C5828-000D2CF0     D4C9
0D30F6    7094    No     000D2CF1-000D9D89     7099
0DA190    3A0A    No     000D9D8A-000DD798     3A0F
0DDBA0     33E    No     000DD799-000DDADB      343
0DDEE4    3401    No     000DDADC-000E0EE1     3406
0E12EC    9691    No     000E0EE2-000EA577     9696
0EA984     212    No     000EA578-000EA78E      217
0EAB9C    ADE1    No     000EA78F-000F5574     ADE6
0F5984     6E2    No     000F5575-000F5C5B      6E7
0F606C    D1B2    No     000F5C5C-00102E12     D1B7
103224    5FA6    No     00102E13-00108DBD     5FAB
1091D0    9C4A    No     00108DBE-00112A0C     9C4F
112E20    8469    No     00112A0D-0011AE7A     846E
11B290    540A    No     0011AE7B-00120289     540F
1206A0     42E    No     0012028A-001206BC      433
120AD4       1    No     001206BD-001206C2        6
120AE0    385D    No     001206C3-00123F24     3862
124344    17A6    No     00123F25-001256CF     17AB
125AF0    5A21    No     001256D0-0012B0F5     5A26
12B518    6EEC    No     0012B0F6-00131FE6     6EF1
13240C    FFFF    No     00131FE7-00141FEA    10004
14240C    7922    No     00141FEB-00149911     7927
149D34    8F7E    No     00149912-00152894     8F83
152CB8    392A    No     00152895-001561C3     392F
1565E9    FFFF    No     001561C4-001661C7    10004
1665E8    983E    No     001661C8-0016FA0A     9843
16FE2D    1D0D    No     0016FA0B-0017171C     1D12
171B3A      11    Yes    0017171D-00171724        8
171B4B     A43    No     00171725-0017216C      A48
17258E       F    Yes    0017216D-00172174        8
17259D       A    Yes    00172175-0017217C        8
1725A7      10    Yes    0017217D-00172184        8
1725B7      13    No     00172185-0017219C       18
1725CA      14    Yes    0017219D-001721A4        8
1725DE      1C    No     001721A5-001721C5       21
1725FA      13    Yes    001721C6-001721CD        8
17260D      22    No     001721CE-001721F4       27
17262F       F    Yes    001721F5-001721FC        8
17263E       A    Yes    001721FD-00172204        8
172648      10    Yes    00172205-0017220C        8
172658      15    No     0017220D-00172226       1A
17266D      13    Yes    00172227-0017222E        8
172680      1D    No     0017222F-00172250       22
17269D      13    Yes    00172251-00172258        8
1726B0     117    No     00172259-00172374      11C
1727C7       F    Yes    00172375-0017237C        8
1727D6       A    Yes    0017237D-00172384        8
1727E0      10    Yes    00172385-0017238C        8
1727F0      17    No     0017238D-001723A8       1C
172807       F    Yes    001723A9-001723B0        8
172816       A    Yes    001723B1-001723B8        8
172820      10    Yes    001723B9-001723C0        8
172830      18    No     001723C1-001723DD       1D
172848       F    Yes    001723DE-001723E5        8
172857       A    Yes    001723E6-001723ED        8
172861      10    Yes    001723EE-001723F5        8
172871      1B    No     001723F6-00172415       20
17288C       F    Yes    00172416-0017241D        8
17289B      30    No     0017241E-00172452       35
1728CB       F    Yes    00172453-0017245A        8
1728DA       A    Yes    0017245B-00172462        8
1728E4      10    Yes    00172463-0017246A        8
1728F4      18    No     0017246B-00172487       1D
17290C       F    Yes    00172488-0017248F        8
17291B       A    Yes    00172490-00172497        8
172925      10    Yes    00172498-0017249F        8
172935      19    No     001724A0-001724BD       1E
17294E       F    Yes    001724BE-001724C5        8
17295D       A    Yes    001724C6-001724CD        8
172967      10    Yes    001724CE-001724D5        8
172977      1C    No     001724D6-001724F6       21
172993       F    Yes    001724F7-001724FE        8
1729A2    CCB3    No     001724FF-0017F1B6     CCB8
17F65C     7BB    No     0017F1B7-0017F976      7C0
17FE1F    792F    No     0017F977-001872AA     7934
187755    1CF0    No     001872AB-00188F9F     1CF5
18944B    2895    No     00188FA0-0018B839     289A
18BCE6    8E16    No     0018B83A-00194654     8E1B
194B04    47FE    No     00194655-00198E57     4803
199309    2405    No     00198E58-0019B261     240A
19B717    2256    No     0019B262-0019D4BC     225B
19D975    FFFF    No     0019D4BD-001AD4C0    10004
1AD974    FFFF    No     001AD4C1-001BD4C4    10004
1BD973    3E2F    No     001BD4C5-001C12F8     3E34
1C17AA    2575    No     001C12F9-001C3872     257A
1C3D27    2755    No     001C3873-001C5FCC     275A
1C6483    FFFF    No     001C5FCD-001D5FD0    10004
1D6482    FFFF    No     001D5FD1-001E5FD4    10004
1E6481    ACB1    No     001E5FD5-001F0C8A     ACB6
1F113A     754    No     001F0C8B-001F13E3      759
1F1894     18A    No     001F13E4-001F1572      18F
1F1A27    1B85    No     001F1573-001F30FC     1B8A
1F35B4     282    No     001F30FD-001F3383      287
1F3840     27A    No     001F3384-001F3602      27F
1F3AC0     4C0    No     001F3603-001F3AC7      4C5
1F3F86      26    No     001F3AC8-001F3AF2       2B
1F3FB4     290    No     001F3AF3-001F3D87      295
1F424A       2    No     001F3D88-001F3D8E        7
1F4252       2    No     001F3D8F-001F3D95        7
1F425A      CE    No     001F3D96-001F3E68       D3
1F432E      D2    No     001F3E69-001F3F3F       D7
1F4406     14A    No     001F3F40-001F408E      14F
1F455C    25A9    No     001F408F-001F663C     25AE
1F6B05       B    Yes    001F663D-001F6644        8
1F6B14      18    No     001F6645-001F6661       1D
1F6B34       9    No     001F6662-001F666F        E
1F6B40      10    Yes    001F6670-001F6677        8
1F6B58      14    No     001F6678-001F6690       19
1F6B78       9    No     001F6691-001F669E        E
1F6B81       F    Yes    001F669F-001F66A6        8
1F6B9C      10    No     001F66A7-001F66BB       15
1F6BBC       9    No     001F66BC-001F66C9        E
1F6BC5       B    Yes    001F66CA-001F66D1        8
1F6BE0       C    No     001F66D2-001F66E2       11
1F6C00      2C    No     001F66E3-001F6713       31
1F6C34       9    No     001F6714-001F6721        E
1F6C40      10    Yes    001F6722-001F6729        8
1F6C58      14    No     001F672A-001F6742       19
1F6C78       9    No     001F6743-001F6750        E
1F6C81       F    Yes    001F6751-001F6758        8
1F6C9C      10    No     001F6759-001F676D       15
1F6CBC       9    No     001F676E-001F677B        E
1F6CC5       B    Yes    001F677C-001F6783        8
1F6CE0       C    No     001F6784-001F6794       11
1F6D00      10    No     001F6795-001F67A9       15
1F6D20      2E    Yes    001F67AA-001F67B1        8
1F6D4E       2    No     001F67B2-001F67B8        7
1F6D60      2D    Yes    001F67B9-001F67C0        8
1F6D8D       6    No     001F67C1-001F67CB        B
1F6DA0      2D    Yes    001F67CC-001F67D3        8
1F6DCD       A    No     001F67D4-001F67E2        F
1F6DE0      6E    Yes    001F67E3-001F67EA        8
1F6E4E       2    No     001F67EB-001F67F1        7
1F6E60      2D    Yes    001F67F2-001F67F9        8
1F6E8D       6    No     001F67FA-001F6804        B
1F6EA0       C    Yes    001F6805-001F680C        8
1F6ECD       A    No     001F680D-001F681B        F
1F6F18      14    No     001F681C-001F6834       19
1F6F38       9    No     001F6835-001F6842        E
1F6F4E       1    No     001F6843-001F6848        6
1F6F98      14    No     001F6849-001F6861       19
1F6FB8       9    No     001F6862-001F686F        E
1F6FCE       1    No     001F6870-001F6875        6
1F700D      4F    No     001F6876-001F68C9       54
1F7064       6    No     001F68CA-001F68D4        B
1F7075      4B    No     001F68D5-001F6924       50
1F70D0      10    No     001F6925-001F6939       15
1F70F0      10    No     001F693A-001F694E       15
1F7100      10    Yes    001F694F-001F6956        8
1F7111       F    No     001F6957-001F696A       14
1F7120       8    Yes    001F696B-001F6972        8
1F7130      10    No     001F6973-001F6987       15
1F7140      10    Yes    001F6988-001F698F        8
1F7151       F    No     001F6990-001F69A3       14
1F7160       8    Yes    001F69A4-001F69AB        8
1F7170      10    No     001F69AC-001F69C0       15
1F7180      10    Yes    001F69C1-001F69C8        8
1F7191       F    No     001F69C9-001F69DC       14
1F71A0       8    Yes    001F69DD-001F69E4        8
1F71B0      10    No     001F69E5-001F69F9       15
1F71C0      10    Yes    001F69FA-001F6A01        8
1F71D0      10    No     001F6A02-001F6A16       15
1F71E0       8    Yes    001F6A17-001F6A1E        8
1F71F1       F    No     001F6A1F-001F6A32       14
1F7200      10    Yes    001F6A33-001F6A3A        8
1F7210      10    No     001F6A3B-001F6A4F       15
1F7220       C    Yes    001F6A50-001F6A57        8
1F7230      10    No     001F6A58-001F6A6C       15
1F7240      10    Yes    001F6A6D-001F6A74        8
1F7251       F    No     001F6A75-001F6A88       14
1F7260       C    Yes    001F6A89-001F6A90        8
1F7271       F    No     001F6A91-001F6AA4       14
1F7280      10    Yes    001F6AA5-001F6AAC        8
1F7291       F    No     001F6AAD-001F6AC0       14
1F72A0       C    Yes    001F6AC1-001F6AC8        8
1F72B1      1F    No     001F6AC9-001F6AEC       24
1F72E0       F    No     001F6AED-001F6B00       14
1F7300      10    No     001F6B01-001F6B15       15
1F7311       F    Yes    001F6B16-001F6B1D        8
1F7320      10    No     001F6B1E-001F6B32       15
1F7331       B    Yes    001F6B33-001F6B3A        8
1F7340      10    No     001F6B3B-001F6B4F       15
1F7351       F    Yes    001F6B50-001F6B57        8
1F7360      10    No     001F6B58-001F6B6C       15
1F7371       7    Yes    001F6B6D-001F6B74        8
1F7380      10    No     001F6B75-001F6B89       15
1F7391       F    Yes    001F6B8A-001F6B91        8
1F73A0      10    No     001F6B92-001F6BA6       15
1F73B1       7    Yes    001F6BA7-001F6BAE        8
1F73C0      10    No     001F6BAF-001F6BC3       15
1F73D1       F    Yes    001F6BC4-001F6BCB        8
1F73E0      10    No     001F6BCC-001F6BE0       15
1F73F1       7    Yes    001F6BE1-001F6BE8        8
1F7400      10    No     001F6BE9-001F6BFD       15
1F7411       F    Yes    001F6BFE-001F6C05        8
1F7420      10    No     001F6C06-001F6C1A       15
1F7431       7    Yes    001F6C1B-001F6C22        8
1F7440       F    No     001F6C23-001F6C36       14
1F744F      11    Yes    001F6C37-001F6C3E        8
1F7460       F    No     001F6C3F-001F6C52       14
1F7471       7    Yes    001F6C53-001F6C5A        8
1F7480       F    No     001F6C5B-001F6C6E       14
1F748F      11    Yes    001F6C6F-001F6C76        8
1F74A0       F    No     001F6C77-001F6C8A       14
1F74B1      1F    Yes    001F6C8B-001F6C92        8
1F74D1       F    No     001F6C93-001F6CA6       14
1F74E0       8    Yes    001F6CA7-001F6CAE        8
1F74F1       F    No     001F6CAF-001F6CC2       14
1F7500      10    Yes    001F6CC3-001F6CCA        8
1F7511       F    No     001F6CCB-001F6CDE       14
1F7520     198    Yes    001F6CDF-001F6CE6        8
1F76C0       F    No     001F6CE7-001F6CFA       14
1F76CF      11    Yes    001F6CFB-001F6D02        8
1F76E0       F    No     001F6D03-001F6D16       14
1F76F1       7    Yes    001F6D17-001F6D1E        8
1F7700       F    No     001F6D1F-001F6D32       14
1F78C2      18    No     001F6D33-001F6D4F       1D
1F78E2      18    No     001F6D50-001F6D6C       1D
1F7902      18    No     001F6D6D-001F6D89       1D
1F7922      18    No     001F6D8A-001F6DA6       1D
1F7942      18    No     001F6DA7-001F6DC3       1D
1F7962      18    No     001F6DC4-001F6DE0       1D
1F7982      18    No     001F6DE1-001F6DFD       1D
1F79A2      18    No     001F6DFE-001F6E1A       1D
1F79C2      18    No     001F6E1B-001F6E37       1D
1F79E3      17    No     001F6E38-001F6E53       1C
1F7A02      18    No     001F6E54-001F6E70       1D
1F7A23      17    No     001F6E71-001F6E8C       1C
1F7A43      17    No     001F6E8D-001F6EA8       1C
1F7A62      18    No     001F6EA9-001F6EC5       1D
1F7A82      18    No     001F6EC6-001F6EE2       1D
1F7AA2      18    No     001F6EE3-001F6EFF       1D
1F7AC2      18    No     001F6F00-001F6F1C       1D
1F7AE2      18    No     001F6F1D-001F6F39       1D
1F7B02      18    No     001F6F3A-001F6F56       1D
1F7B22      18    No     001F6F57-001F6F73       1D
1F7B42      18    No     001F6F74-001F6F90       1D
1F7B62      18    No     001F6F91-001F6FAD       1D
1F7B82      18    No     001F6FAE-001F6FCA       1D
1F7BA2      18    No     001F6FCB-001F6FE7       1D
1F7BC2      18    No     001F6FE8-001F7004       1D
1F7BE2      18    No     001F7005-001F7021       1D
1F7C02      18    No     001F7022-001F703E       1D
1F7C22      18    No     001F703F-001F705B       1D
1F7C42      18    No     001F705C-001F7078       1D
1F7C62      18    No     001F7079-001F7095       1D
1F7C83      17    No     001F7096-001F70B1       1C
1F7CA2      18    No     001F70B2-001F70CE       1D
1F7CC3      17    No     001F70CF-001F70EA       1C
1F7CE3      17    No     001F70EB-001F7106       1C
1F7D02      18    No     001F7107-001F7123       1D
1F7D22      18    No     001F7124-001F7140       1D
1F7D42      18    No     001F7141-001F715D       1D
1F7D62      18    No     001F715E-001F717A       1D
1F7D82      18    No     001F717B-001F7197       1D
1F7DA2      18    No     001F7198-001F71B4       1D
1F7DC2      18    No     001F71B5-001F71D1       1D
1F7DE2      18    No     001F71D2-001F71EE       1D
1F7E02      18    No     001F71EF-001F720B       1D
1F7E22      18    No     001F720C-001F7228       1D
1F7E42       E    No     001F7229-001F723B       13
1F7E50       A    Yes    001F723C-001F7243        8
1F7E62      18    No     001F7244-001F7260       1D
1F7E8A       C    No     001F7261-001F7271       11
1F7EA2      18    No     001F7272-001F728E       1D
1F7EC2      18    No     001F728F-001F72AB       1D
1F7EE2      18    No     001F72AC-001F72C8       1D
1F7F02      18    No     001F72C9-001F72E5       1D
1F7F22      18    No     001F72E6-001F7302       1D
1F7F42      18    No     001F7303-001F731F       1D
1F7F62       A    Yes    001F7320-001F7327        8
1F7F6C       E    No     001F7328-001F733A       13
1F7F82      18    No     001F733B-001F7357       1D
1F7FA2      18    No     001F7358-001F7374       1D
1F7FC2      18    No     001F7375-001F7391       1D
1F7FE2      18    No     001F7392-001F73AE       1D
1F8002      18    No     001F73AF-001F73CB       1D
1F8022      18    No     001F73CC-001F73E8       1D
1F8042      18    No     001F73E9-001F7405       1D
1F8062      18    No     001F7406-001F7422       1D
1F8082      18    No     001F7423-001F743F       1D
1F80A2      18    No     001F7440-001F745C       1D
1F80C2      18    No     001F745D-001F7479       1D
1F80E2      18    No     001F747A-001F7496       1D
1F8102      18    No     001F7497-001F74B3       1D
1F8122      18    No     001F74B4-001F74D0       1D
1F8142      18    No     001F74D1-001F74ED       1D
1F8162      18    No     001F74EE-001F750A       1D
1F8182      18    No     001F750B-001F7527       1D
1F81A2      18    No     001F7528-001F7544       1D
1F81C2      18    No     001F7545-001F7561       1D
1F81E2      18    No     001F7562-001F757E       1D
1F8202      18    No     001F757F-001F759B       1D
1F8222      18    No     001F759C-001F75B8       1D
1F8242      18    No     001F75B9-001F75D5       1D
1F8262      18    No     001F75D6-001F75F2       1D
1F8282      18    No     001F75F3-001F760F       1D
1F82A2      18    No     001F7610-001F762C       1D
1F82C2      18    No     001F762D-001F7649       1D
1F82E2      18    No     001F764A-001F7666       1D
1F8303      17    No     001F7667-001F7682       1C
1F8322      18    No     001F7683-001F769F       1D
1F8342      18    No     001F76A0-001F76BC       1D
1F8362      18    No     001F76BD-001F76D9       1D
1F8382      18    No     001F76DA-001F76F6       1D
1F83A2      18    No     001F76F7-001F7713       1D
1F83C2      18    No     001F7714-001F7730       1D
1F83E2      18    No     001F7731-001F774D       1D
1F8403      17    No     001F774E-001F7769       1C
1F8422      18    No     001F776A-001F7786       1D
1F8442      18    No     001F7787-001F77A3       1D
1F8462      18    No     001F77A4-001F77C0       1D
1F8482      18    No     001F77C1-001F77DD       1D
1F84A2      18    No     001F77DE-001F77FA       1D
1F84C2      18    No     001F77FB-001F7817       1D
1F84E2      18    No     001F7818-001F7834       1D
1F8502      18    No     001F7835-001F7851       1D
1F8522      18    No     001F7852-001F786E       1D
1F8542      18    No     001F786F-001F788B       1D
1F8562      18    No     001F788C-001F78A8       1D
1F8582      18    No     001F78A9-001F78C5       1D
1F85A2      18    No     001F78C6-001F78E2       1D
1F85C2      18    No     001F78E3-001F78FF       1D
1F85E2      18    No     001F7900-001F791C       1D
1F8602      18    No     001F791D-001F7939       1D
1F8622      18    No     001F793A-001F7956       1D
1F8642      18    No     001F7957-001F7973       1D
1F8662      18    No     001F7974-001F7990       1D
1F8682      18    No     001F7991-001F79AD       1D
1F86A3      17    No     001F79AE-001F79C9       1C
1F86C2      18    No     001F79CA-001F79E6       1D
1F86E2      18    No     001F79E7-001F7A03       1D
1F8702      18    No     001F7A04-001F7A20       1D
1F8722      18    No     001F7A21-001F7A3D       1D
1F8742      18    No     001F7A3E-001F7A5A       1D
1F8762      18    No     001F7A5B-001F7A77       1D
1F8782      18    No     001F7A78-001F7A94       1D
1F87A2      18    No     001F7A95-001F7AB1       1D
1F87C2      18    No     001F7AB2-001F7ACE       1D
1F87EA       E    No     001F7ACF-001F7AE1       13
1F880A       E    No     001F7AE2-001F7AF4       13
1F882B       D    No     001F7AF5-001F7B06       12
1F884A       E    No     001F7B07-001F7B19       13
1F8862      18    No     001F7B1A-001F7B36       1D
1F8882      18    No     001F7B37-001F7B53       1D
1F88A2      18    No     001F7B54-001F7B70       1D
1F88C2      18    No     001F7B71-001F7B8D       1D
1F88E2      18    No     001F7B8E-001F7BAA       1D
1F8902      18    No     001F7BAB-001F7BC7       1D
1F8922      18    No     001F7BC8-001F7BE4       1D
1F8942      18    No     001F7BE5-001F7C01       1D
1F8962      18    No     001F7C02-001F7C1E       1D
1F8982      18    No     001F7C1F-001F7C3B       1D
1F89A2      18    No     001F7C3C-001F7C58       1D
1F89C2      18    No     001F7C59-001F7C75       1D
1F89E2      18    No     001F7C76-001F7C92       1D
1F8A02      18    No     001F7C93-001F7CAF       1D
1F8A22      18    No     001F7CB0-001F7CCC       1D
1F8A42      18    No     001F7CCD-001F7CE9       1D
1F8A62      18    No     001F7CEA-001F7D06       1D
1F8A82      18    No     001F7D07-001F7D23       1D
1F8AA2      18    No     001F7D24-001F7D40       1D
1F8AC2      18    No     001F7D41-001F7D5D       1D
1F8AE2      18    No     001F7D5E-001F7D7A       1D
1F8B02      18    No     001F7D7B-001F7D97       1D
1F8B22      18    No     001F7D98-001F7DB4       1D
1F8B42      18    No     001F7DB5-001F7DD1       1D
1F8B62      18    No     001F7DD2-001F7DEE       1D
1F8B82      18    No     001F7DEF-001F7E0B       1D
1F8BA2      18    No     001F7E0C-001F7E28       1D
1F8BC2      18    No     001F7E29-001F7E45       1D
1F8BE2      18    No     001F7E46-001F7E62       1D
1F8C02      18    No     001F7E63-001F7E7F       1D
1F8C22      18    No     001F7E80-001F7E9C       1D
1F8C42      18    No     001F7E9D-001F7EB9       1D
1F8C62      18    No     001F7EBA-001F7ED6       1D
1F8C82      18    No     001F7ED7-001F7EF3       1D
1F8CA2      18    No     001F7EF4-001F7F10       1D
1F8CC2       E    No     001F7F11-001F7F23       13
1F8CD0       A    Yes    001F7F24-001F7F2B        8
1F8CE2      18    No     001F7F2C-001F7F48       1D
1F8D02      18    No     001F7F49-001F7F65       1D
1F8D22      18    No     001F7F66-001F7F82       1D
1F8D42      18    No     001F7F83-001F7F9F       1D
1F8D62      18    No     001F7FA0-001F7FBC       1D
1F8D82      18    No     001F7FBD-001F7FD9       1D
1F8DA2      18    No     001F7FDA-001F7FF6       1D
1F8DC2      18    No     001F7FF7-001F8013       1D
1F8DE2      18    No     001F8014-001F8030       1D
1F8E02      18    No     001F8031-001F804D       1D
1F8E23      17    No     001F804E-001F8069       1C
1F8E42      18    No     001F806A-001F8086       1D
1F8E62      18    No     001F8087-001F80A3       1D
1F8E82      18    No     001F80A4-001F80C0       1D
1F8EA2      18    No     001F80C1-001F80DD       1D
1F8EC2      18    No     001F80DE-001F80FA       1D
1F8EE2      18    No     001F80FB-001F8117       1D
1F8F02      18    No     001F8118-001F8134       1D
1F8F22      18    No     001F8135-001F8151       1D
1F8F42      18    No     001F8152-001F816E       1D
1F8F62      18    No     001F816F-001F818B       1D
1F8F82      18    No     001F818C-001F81A8       1D
1F8FA2      18    No     001F81A9-001F81C5       1D
1F8FC2      18    No     001F81C6-001F81E2       1D
1F8FE2      18    No     001F81E3-001F81FF       1D
1F9002      18    No     001F8200-001F821C       1D
1F9022      18    No     001F821D-001F8239       1D
1F9042      18    No     001F823A-001F8256       1D
1F9062      18    No     001F8257-001F8273       1D
1F9082      18    No     001F8274-001F8290       1D
1F90A2      18    No     001F8291-001F82AD       1D
1F90C2      18    No     001F82AE-001F82CA       1D
1F90E2      18    No     001F82CB-001F82E7       1D
1F9102      18    No     001F82E8-001F8304       1D
1F9123      17    No     001F8305-001F8320       1C
1F9142      18    No     001F8321-001F833D       1D
1F9162      18    No     001F833E-001F835A       1D
1F9182      18    No     001F835B-001F8377       1D
1F91A2      18    No     001F8378-001F8394       1D
1F91C2      18    No     001F8395-001F83B1       1D
1F91E2      18    No     001F83B2-001F83CE       1D
1F9202      18    No     001F83CF-001F83EB       1D
1F9222      18    No     001F83EC-001F8408       1D
1F9242      18    No     001F8409-001F8425       1D
1F9262      18    No     001F8426-001F8442       1D
1F9283      17    No     001F8443-001F845E       1C
1F92A2      18    No     001F845F-001F847B       1D
1F92C2      18    No     001F847C-001F8498       1D
1F92E2      18    No     001F8499-001F84B5       1D
1F9302      18    No     001F84B6-001F84D2       1D
1F9323      17    No     001F84D3-001F84EE       1C
1F9342      18    No     001F84EF-001F850B       1D
1F9362      18    No     001F850C-001F8528       1D
1F9382      18    No     001F8529-001F8545       1D
1F93A2      18    No     001F8546-001F8562       1D
1F93C2      18    No     001F8563-001F857F       1D
1F93E2      18    No     001F8580-001F859C       1D
1F9402      18    No     001F859D-001F85B9       1D
1F9422      18    No     001F85BA-001F85D6       1D
1F9442      18    No     001F85D7-001F85F3       1D
1F9463      17    No     001F85F4-001F860F       1C
1F9482      18    No     001F8610-001F862C       1D
1F94A2      18    No     001F862D-001F8649       1D
1F94C2      18    No     001F864A-001F8666       1D
1F94E2      18    No     001F8667-001F8683       1D
1F9502      18    No     001F8684-001F86A0       1D
1F9522      18    No     001F86A1-001F86BD       1D
1F9542      18    No     001F86BE-001F86DA       1D
1F9562      18    No     001F86DB-001F86F7       1D
1F9582      18    No     001F86F8-001F8714       1D
1F95A2      18    No     001F8715-001F8731       1D
1F95C2      18    No     001F8732-001F874E       1D
1F95E2      18    No     001F874F-001F876B       1D
1F9602      18    No     001F876C-001F8788       1D
1F9622      18    No     001F8789-001F87A5       1D
1F9642      18    No     001F87A6-001F87C2       1D
1F9662      18    No     001F87C3-001F87DF       1D
1F9682      18    No     001F87E0-001F87FC       1D
1F96A2      18    No     001F87FD-001F8819       1D
1F96C2      18    No     001F881A-001F8836       1D
1F96E2      18    No     001F8837-001F8853       1D
1F9702      18    No     001F8854-001F8870       1D
1F9722      18    No     001F8871-001F888D       1D
1F9742      18    No     001F888E-001F88AA       1D
1F9762      18    No     001F88AB-001F88C7       1D
1F9782      18    No     001F88C8-001F88E4       1D
1F97A2      18    No     001F88E5-001F8901       1D
1F97C2      18    No     001F8902-001F891E       1D
1F97E2      18    No     001F891F-001F893B       1D
1F9802      18    No     001F893C-001F8958       1D
1F9822      18    No     001F8959-001F8975       1D
1F9842      18    No     001F8976-001F8992       1D
1F9862      18    No     001F8993-001F89AF       1D
1F9882      18    No     001F89B0-001F89CC       1D
1F98A2      18    No     001F89CD-001F89E9       1D
1F98CA       E    No     001F89EA-001F89FC       13
1F98EA       E    No     001F89FD-001F8A0F       13
1F990B       D    No     001F8A10-001F8A21       12
1F992A       E    No     001F8A22-001F8A34       13
1F994A       C    No     001F8A35-001F8A45       11
1F9962      18    No     001F8A46-001F8A62       1D
1F9982      18    No     001F8A63-001F8A7F       1D
1F99A2      18    No     001F8A80-001F8A9C       1D
1F99C2      18    No     001F8A9D-001F8AB9       1D
1F99F2       6    No     001F8ABA-001F8AC4        B
